YEAR,ST_CASE,VEH_NO,A_DRDIS,A_DRDRO,A_VRD,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_FIRE_EXP
2020,10001,1,2,2,1,1,2,,1,2,2,2,4,1,3,1997,1
2020,10002,1,2,2,2,1,3,,2,2,2,2,4,2,3,1993,1
2020,10002,2,2,2,2,2,2,,2,1,1,2,4,2,3,2007,1
2020,10002,3,2,2,2,1,2,,2,2,2,2,4,2,3,2004,1
2020,10002,4,2,2,2,1,2,,2,1,1,2,4,2,3,2006,1
2020,10003,1,2,2,1,1,2,,2,2,2,2,4,1,3,1995,1
2020,10003,2,2,2,2,6,3,,2,1,1,1,4,2,3,2016,1
2020,10004,1,2,2,1,1,2,,1,1,1,2,4,1,3,2007,1
2020,10005,1,2,2,1,3,2,,2,1,1,2,4,2,3,2013,1
2020,10006,1,2,2,1,1,2,,2,1,1,2,4,2,3,2005,1
2020,10006,2,2,2,2,1,2,,2,1,1,2,4,2,3,2014,1
2020,10007,1,2,2,2,1,2,,2,1,1,2,4,2,3,2014,1
2020,10008,1,2,2,2,2,2,,2,1,1,2,4,1,3,1997,1
2020,10008,2,2,2,2,6,4,,2,1,1,1,4,2,3,2007,1
2020,10009,1,2,2,2,2,2,,2,1,1,2,4,2,3,2001,1
2020,10009,2,2,2,2,2,4,,2,1,1,2,4,2,3,2014,1
2020,10010,1,2,2,2,2,2,,2,1,1,2,4,2,3,1998,1
2020,10010,2,2,2,2,4,2,,2,1,1,2,4,2,3,2001,2
2020,10011,1,2,2,2,1,5,,2,1,1,2,4,2,3,2013,1
2020,10011,2,2,2,2,1,2,,2,1,1,2,4,2,3,2017,1
2020,10012,1,2,2,2,6,2,,2,1,1,2,4,2,3,2018,1
2020,10012,2,2,2,2,2,5,,2,2,2,2,4,2,3,2001,1
2020,10013,1,2,2,2,1,2,,2,1,1,2,4,2,3,2011,1
2020,10014,1,2,2,1,1,2,,2,1,1,2,4,1,3,2002,1
2020,10015,1,2,2,2,2,2,,2,3,3,3,4,2,3,2003,1
2020,10016,1,2,2,2,2,2,,2,2,2,2,4,1,3,1998,1
2020,10016,2,2,2,2,4,2,,2,1,1,2,4,2,3,2006,1
2020,10017,1,2,2,2,1,2,,2,1,1,2,4,2,3,2011,1
2020,10017,2,2,2,2,3,2,,2,1,1,2,4,2,3,2006,1
2020,10018,1,2,2,1,1,2,,2,1,1,2,4,2,3,2000,1
2020,10018,2,2,2,2,3,2,,2,1,1,2,4,2,3,2007,1
2020,10019,1,2,2,1,1,1,,2,1,1,2,4,2,3,2012,1
2020,10020,1,2,2,1,1,2,,2,1,1,2,4,2,3,2001,1
2020,10021,1,2,2,1,3,3,,2,1,1,2,4,1,3,2010,1
2020,10021,2,2,2,2,8,2,,2,1,1,1,4,2,1,2005,1
2020,10022,1,2,2,1,6,1,,1,1,1,1,4,2,3,2015,1
2020,10023,1,2,2,1,2,2,,2,1,1,2,4,2,3,1995,1
2020,10024,1,2,2,2,1,3,,2,1,1,2,4,2,3,2001,1
2020,10024,2,2,2,2,6,2,,2,1,1,1,4,2,3,2019,1
2020,10025,1,2,2,1,1,2,,2,2,2,2,4,1,3,2013,2
2020,10026,1,2,2,1,2,1,,2,1,1,2,4,1,3,2000,1
2020,10026,2,2,2,2,3,2,,2,1,1,2,4,2,3,2019,1
2020,10027,1,2,2,1,3,2,,2,1,1,2,4,1,3,2003,1
2020,10028,1,2,2,1,1,3,,2,1,1,2,4,2,3,2004,1
2020,10029,1,2,2,2,6,2,,2,1,1,1,4,2,3,2020,1
2020,10030,1,2,2,2,1,2,,2,1,1,2,4,1,3,1997,1
2020,10030,2,2,2,2,3,4,,1,1,1,2,4,2,3,1994,1
2020,10031,1,1,2,2,1,2,,2,1,1,2,4,1,3,2017,1
2020,10031,2,2,2,2,1,4,,2,2,2,2,4,2,3,2008,1
2020,10031,3,2,2,2,6,4,,2,1,1,1,4,2,3,2020,1
2020,10032,1,2,2,1,3,2,,2,1,1,2,4,2,3,2007,1
2020,10033,1,2,2,1,3,1,,1,1,1,1,4,2,3,2005,1
2020,10034,1,2,2,2,3,2,,1,2,2,2,4,1,3,2013,1
2020,10034,2,2,2,2,1,4,,1,1,1,2,4,2,3,2011,1
2020,10034,3,2,2,2,3,4,,2,1,1,2,4,2,3,2011,1
2020,10035,1,2,2,2,1,2,,2,1,1,2,4,2,3,2013,1
2020,10036,1,2,2,1,1,5,,2,1,1,2,4,1,3,2003,1
2020,10037,1,2,2,2,3,2,,2,1,1,2,4,1,3,2019,1
2020,10037,2,2,2,2,6,4,,2,1,1,1,4,2,3,2019,1
2020,10038,1,2,2,2,2,2,,2,1,1,2,4,2,3,2019,1
2020,10039,1,2,2,1,1,3,,1,1,1,2,4,1,3,2005,2
2020,10040,1,1,2,1,2,2,,2,2,2,2,4,2,3,2004,1
2020,10040,2,2,2,2,1,2,,2,1,1,2,4,2,3,2014,1
2020,10041,1,2,2,2,3,2,,2,1,1,2,4,2,3,2016,1
2020,10042,1,2,2,1,1,2,,2,1,1,2,4,1,3,2017,1
2020,10043,1,2,2,1,1,2,,2,1,1,2,4,2,3,2005,1
2020,10043,2,2,2,2,3,2,,2,1,1,2,4,2,3,1999,1
2020,10044,1,1,2,1,3,2,,2,1,1,2,4,2,3,2002,1
2020,10045,1,2,2,1,1,2,,2,1,1,2,4,2,3,2017,1
2020,10045,2,2,2,2,1,2,,2,2,2,2,4,2,3,2000,1
2020,10045,3,2,2,2,1,5,,2,2,2,2,4,2,3,2010,1
2020,10046,1,2,2,2,1,3,,2,1,1,2,4,2,3,2008,1
2020,10046,2,2,2,2,8,2,,2,1,1,1,4,2,1,2018,1
2020,10047,1,2,2,2,6,2,,2,1,1,2,4,1,3,2005,1
2020,10047,2,2,2,2,3,2,,1,1,1,2,4,2,3,2011,1
2020,10048,1,2,2,2,1,2,,2,1,1,2,4,2,3,2005,1
2020,10048,2,2,2,2,1,2,,2,1,1,2,4,2,3,1999,1
2020,10048,3,2,2,2,3,2,,2,1,1,2,4,2,3,2005,1
2020,10049,1,2,2,2,1,2,,2,1,1,2,4,1,3,2019,1
2020,10049,2,2,2,2,2,2,,2,1,1,2,4,2,3,2019,1
2020,10049,3,2,2,2,1,2,,2,1,1,2,4,2,3,2015,1
2020,10049,4,2,2,2,2,4,,2,1,1,2,4,2,3,2008,1
2020,10049,5,2,2,2,3,2,,2,1,1,1,4,2,3,2005,1
2020,10050,1,2,2,1,1,2,,1,1,1,2,4,2,3,2005,1
2020,10051,1,2,2,1,1,2,,2,1,1,2,4,2,3,2013,1
2020,10051,2,2,2,2,6,2,,2,1,1,1,4,2,3,2017,1
2020,10052,1,2,2,1,1,2,,2,1,1,2,4,2,3,1993,1
2020,10053,1,2,2,1,2,1,,1,2,2,2,4,1,3,2005,1
2020,10054,1,2,2,1,2,1,,1,2,2,2,4,1,3,2005,1
2020,10055,1,2,2,2,6,3,,1,1,1,2,4,2,3,1999,1
2020,10055,2,2,2,2,1,2,,2,1,1,2,4,2,3,2011,1
2020,10056,1,2,2,1,2,2,,1,2,2,2,4,2,3,1997,1
2020,10057,1,2,2,1,2,2,,1,1,1,2,4,1,3,2016,1
2020,10058,1,2,2,1,1,2,,1,2,2,2,4,1,3,2007,1
2020,10059,1,2,2,1,1,2,,1,1,1,2,4,1,3,2010,1
2020,10060,1,2,2,1,1,2,,2,1,1,2,4,1,3,2005,1
2020,10061,1,2,2,1,1,2,,1,1,1,2,4,2,3,2009,1
2020,10062,1,1,2,2,6,2,,2,1,1,1,4,2,3,1999,1
2020,10062,2,2,2,2,2,4,,2,1,1,2,4,2,3,2005,1
2020,10063,1,2,2,1,2,2,,2,1,1,1,4,2,3,2011,1
2020,10063,2,2,2,2,1,2,,2,1,1,2,4,2,3,2013,1
2020,10063,3,2,2,2,3,2,,2,1,1,2,4,2,3,2011,1
2020,10064,1,2,2,2,1,2,,2,1,1,2,4,2,3,2003,1
2020,10065,1,2,2,2,1,2,,2,1,1,2,4,2,3,2010,1
2020,10066,1,2,2,1,3,2,,2,1,1,2,4,2,3,2013,1
2020,10066,2,2,2,2,2,2,,2,1,1,2,4,2,3,2010,1
2020,10067,1,2,2,1,1,2,,2,1,1,1,4,2,3,2000,1
2020,10067,2,2,2,2,6,2,,2,1,1,1,4,2,3,1999,1
2020,10069,1,2,2,2,2,2,,2,1,1,2,4,2,3,2002,1
2020,10070,1,2,2,2,4,2,,2,1,1,2,4,2,3,2012,1
2020,10070,2,2,2,2,1,2,,2,1,1,2,4,2,3,2005,1
2020,10070,3,2,2,2,2,2,,2,1,1,2,4,2,3,2003,1
2020,10071,1,2,2,1,1,2,,2,1,1,2,4,2,3,2004,1
2020,10071,2,2,2,2,4,2,,2,1,1,2,4,2,3,2006,1
2020,10072,1,2,2,2,2,2,,2,1,1,2,4,2,3,2005,1
2020,10072,2,2,2,2,2,3,,1,1,1,2,4,2,3,2014,1
2020,10073,1,2,2,1,2,2,,1,1,1,2,4,2,3,2009,1
