,factor_index,driver_factor,effect_start,effect_end,factor_category
0,0,No factors identified for this driver,-inf,inf,default
1,1," Drowsy, Asleep",-inf,2009.0,Physical/Mental Condition
2,2," Ill, Passed Out, Blacked Out",-inf,2009.0,Physical/Mental Condition
3,3," Emotional (e.g., depressed, angry, disturbed)",-inf,2009.0,Physical/Mental Condition
4,4,Reaction to/Failure to take Drugs/Medication ,-inf,inf,Physical/Mental Condition
5,5,"(2003-2009) Impaired by Alcohol, Drugs, Meds",-inf,inf,Physical/Mental Condition
6,6," Inattentive , Careless Driving ",2012.0,2012.0,Physical/Mental Condition
7,7,Restricted to Wheelchair ,-inf,2009.0,Physical/Mental Condition
8,8,"Paraplegic , Aggressive Driving Road Rage  ",2004.0,1994.0,Physical/Mental Condition
9,10,Looked but did not see,-inf,inf,Physical/Mental Condition
10,12,Mother of Dead Fetus or Infant Born Post-Crash,-inf,inf,Physical/Mental Condition
11,13,Mentally Challenged ,-inf,2020.0,Physical/Mental Condition
12,13,"Person with an Intellectual, Cognitive, or Developmental Disability ",2021.0,inf,Physical/Mental Condition
13,15,Seat Back Not In Normal Upright Position,-inf,inf,Miscellaneous Factors
14,16,Police or Law Enforcement Officer  ,2002.0,inf,Miscellaneous Factors
15,18,Traveling on Prohibited Trafficways ,-inf,inf,Miscellaneous Factors
16,19,Legally Driving on Suspended / Revoked License ,-inf,inf,Miscellaneous Factors
17,20,Leaving Vehicle Unattended in Roadway/With engine running ,-inf,inf,Miscellaneous Factors
18,21,Overloading or Improper Loading of Vehicle  ,-inf,inf,Miscellaneous Factors
19,22,Towing or Pushing Improperly ,-inf,inf,Miscellaneous Factors
20,23,Failure to Dim Lights or to Have Lights on as Required ,-inf,inf,Miscellaneous Factors
21,24,Operating Without Required Equipment ,-inf,inf,Miscellaneous Factors
22,26,Following Improperly ,-inf,inf,Miscellaneous Factors
23,27,Improper or Erratic Lane Changing ,-inf,inf,Miscellaneous Factors
24,28,Failure to Keep in Proper Lane ,-inf,2014.0,Miscellaneous Factors
25,28, Improper lane usage ,2015.0,inf,Miscellaneous Factors
26,29,"Intentional Illegal Driving on Road Shoulder, in Ditch, on Sidewalk or  Median",-inf,inf,Miscellaneous Factors
27,30,Making Improper Entry To or Exit From Trafficway ,-inf,inf,Miscellaneous Factors
28,31,Starting or Backing Improperly ,-inf,inf,Miscellaneous Factors
29,32,Opening Door/Trunk in Traffic /with Vehicle  in Motion ,-inf,inf,Miscellaneous Factors
30,33,"Passing Where Prohibited by Signs, Pavement Marks, or School Bus Showing No Passing Sign",-inf,inf,Miscellaneous Factors
31,34,Passing on Right Side ,-inf,inf,Miscellaneous Factors
32,35,"Passing With Insufficient Distance/Visibility, or Failing to Yield to Passing Vehicle ",-inf,inf,Miscellaneous Factors
33,36,"Driving in an Erratic, Reckless, Negligent Manner",-inf,inf,Miscellaneous Factors
34,37,Police Pursuing  Driver / Police Officer in Pursuit ,-inf,inf,Miscellaneous Factors
