,ZIP,LAT,LNG
0,10001,40.750633,-73.997177
1,10002,40.715775,-73.986212
2,10003,40.731829,-73.989181
3,10004,40.68863,-74.018244
4,10005,40.706027,-74.008835
5,10006,40.709614,-74.012954
6,10007,40.713848,-74.007755
7,10009,40.726399,-73.978631
8,10010,40.739065,-73.982255
9,10011,40.742039,-74.00062
10,10012,40.725581,-73.998078
11,10013,40.720103,-74.004903
12,10014,40.734012,-74.006746
13,10016,40.745224,-73.978297
14,10017,40.75236,-73.972493
15,10018,40.755319,-73.993114
16,10019,40.765823,-73.987169
17,10020,40.758236,-73.978833
18,10021,40.769258,-73.958751
19,10022,40.758628,-73.967948
20,10023,40.775921,-73.982607
21,10024,40.798452,-73.974428
22,10025,40.798601,-73.966622
23,10026,40.802381,-73.952681
24,10027,40.811407,-73.95306
25,10028,40.776441,-73.953509
26,10029,40.791763,-73.94397
27,10030,40.818267,-73.942856
28,10031,40.825288,-73.950045
29,10032,40.838815,-73.942836
30,10033,40.850545,-73.933983
31,10034,40.867076,-73.924312
32,10035,40.795455,-73.929655
33,10036,40.75926,-73.98986
34,10037,40.812957,-73.937376
35,10038,40.709278,-74.002562
36,10039,40.830867,-73.936218
37,10040,40.858305,-73.930549
38,10044,40.761915,-73.949962
39,10065,40.764612,-73.963122
40,10069,40.775906,-73.990358
41,10075,40.773361,-73.956216
42,10103,40.76078,-73.97767
43,10110,40.754499,-73.982256
44,10111,40.759114,-73.977596
45,10112,40.759167,-73.979668
46,10115,40.810852,-73.963744
47,10119,40.75031,-73.992979
48,10128,40.781432,-73.950013
49,10152,40.758404,-73.972031
50,10153,40.763622,-73.972439
51,10154,40.757779,-73.972487
52,10162,40.7693,-73.949915
53,10165,40.752131,-73.978722
54,10167,40.754648,-73.974771
55,10168,40.751448,-73.977103
56,10169,40.754391,-73.976098
57,10170,40.752625,-73.975877
58,10171,40.755899,-73.973858
59,10172,40.755273,-73.974315
60,10173,40.754131,-73.979364
61,10174,40.751441,-73.975003
62,10177,40.755139,-73.975934
63,10199,40.751393,-73.997229
64,10271,40.708205,-74.010504
65,10278,40.715182,-74.003778
66,10279,40.712626,-74.008669
67,10280,40.708538,-74.01665
68,10282,40.716921,-74.015066
69,10301,40.627456,-74.094407
70,10302,40.630688,-74.137776
71,10303,40.629885,-74.17413
72,10304,40.609227,-74.092575
73,10305,40.596691,-74.074866
74,10306,40.571768,-74.12595
75,10307,40.509183,-74.237785
76,10308,40.551884,-74.147646
77,10309,40.531346,-74.219857
78,10310,40.632648,-74.116148
