Field Name_Code,Code Values,Definition
State Plane South X,,
State Plane South Y,,
Latitude,,
Longitude,,
Collision Report Number,,"A number used to uniquely identify each Police Traffic Collision Report form, Civilian Vehicle Collision Report form, or electronic SECTOR report."
TARGET ZERO Reportable Indicator,,"An indicator that denotes whether a crash was reportable, had a vehicle count greater than 0, and the Collision Report was filed by Law Enforcement. Used for Target Zero analysis."
Non Reportable Indicator,Descr,"An Indicator that denotes whether the collision is ""Reportable"" or Non-Reportable (Intentional, Legal Intervention, Medically Caused or NED 'Not Enough Damage')"
,Intentional,
,Legal Intervention,
,Medically Caused,
,NED (Not Enough Damage),
,Reportable,
State Reportable Indicator Type Code,Descr,An indicator that the Crash meets the minimum state threshold criteria for reporting a crash
,Yes,
,No (Not Reportable),
Intentional Type Code,Descr,An Indicator that denotes the Collision was caused by deliberate actions
,Yes (Not Reportable),
,No,
Legal Intervention Type Code,Descr,"An indicator that denotes that the Collision resulted from the action or inaction of a law enforcement officer or other official during the pursuit of a suspect that affected the Motor Vehicle Driver or Pedalcyclist and prevented them from operating their vehicle in a safe, controlled manner."
,Yes (Not Reportable),
,No,
Medically Caused Type Code,Descr,"Fatal Collisions only: An indicator that denotes whether the Collision resulted from medical reasons that affected the Motor Vehicle Driver or Pedalcyclist (Dies from Medical Reasons) and prevented them from operating their vehicle in a safe, controlled manner. No other person was hurt and no other unit involved incurred property damage."
,Yes (Not Reportable),
,No,
County_See Appendix A,,The largest administrative sub-division within a State in the United States.
City_See Appendix A,,A primarily urban political unit having corporate status and usually powers of self-government established by state charter. 
RTPO Name_See Appendix A,,
MPA Name_See Appendix A,,
TMA Name_See Appendix A,,
Legislative District Number_See Appendix A,,
Collision Report Type Code,Descr,A classification of the Collision report based on the type of Trafficway jurisdiction on which the Collision occurred. 
1,State Road,
2,County Road,
3,City Street,
4,Miscellaneous Trafficway,
Date,,
Last Transaction Date,,"Full Date - The specific day, month, year of the last activity took place regarding the input or update of a collision report."
Year,,
Yearmo,,
Month Name,,
Month Number,,
Day of Week,,
Quarter Number,,
Full Time,,
Full Time 24,,
Hour 24,,
Number of Fatalities,,Total number of Persons killed per Collision.
Total Serious Injuries,,Total number of Persons with Suspected Serious Injuries per Collision.
Total Evident Injuries,,Total number of Persons with Suspected Minor Injuries per Collision.
Total Possible Injuries,,Total number of Persons with Possible Injuries per Collision.
Total Number of Injuries,,Total number of Persons injured per Collision
Number of Pedal cyclists Involved,,The total number of Pedalcyclists involved in a Collision 
Number of Pedestrians Involved,,The total number of Pedestrians involved in a Collision.
Number of Motor Vehicles Involved,,Total Number of Motor Vehicles involved in a Collision.
Indexed Primary Trafficway,,Generally applies to County Road collisions where the Indexed Primary Trafficway is what the Officer stated on the report as the Primary Trafficway. The primary trafficway in the database would be the County Road Number the county provides.
City Primary Trafficway,,The Roadway that the law enforcement officer or citizen considers to be the principal site of the Collision. If the collision occurred where two Roadways cross then the Intersecting Trafficway will contain a value.
City Block Number,,"The Building Site Identifier or the range of Building Site Identifiers, in which the Collision occurred, as assigned to the City Street by the County"
City Intersecting Trafficway,,The roadway that crosses the Primary Trafficway. An Intersecting Trafficway is captured when the Collision occurs at the point where the Primary Trafficway crosses the Intersecting Trafficway or when these two Trafficways are associated due to the presence of Channelization.
City Distance From Reference Point,,The distance from the Collision scene to the Reference Point
City Reference Point Miles_Feet Type Code,Descr,An indicator that denotes if the distance from a Reference Point for a City Street Collision is in Miles or Feet.
M,Miles,
F,Feet,
City Compass Direction From Reference Point Type Code,Descr,"An abbreviation of the four principal directional indicators, North, South, East , West  and the four points midway between, Northeast, Northwest, Southeast, Southwest, referred to as the intercardinal direction that represents the compass direction of the of the City Street Collision relative to the Reference Point."
0,Unknown or Not Applicable,
1,N,
2,NE,
3,E,
4,SE,
5,S,
6,SW,
7,W,
8,NW,
City Reference Point Name,," The name of a Trafficway, landmark or, a description of a place from which an event or object can be located via a linear referencing method."
City Secondary Trafficway 1,,The name of the Trafficway that crosses the Primary Trafficway.It is used to describe the relative location of the Collision on the Primary Trafficway between two Secondary Trafficways.
